hub_id,lat,lon,elev_m,dist_km,cap_mean,cap_std,cap_lcb_at_base_area,feasible,pv_area_m2,required_pv_area_m2,hub_import_kwh_per_sol
1,42.32457311918851,37.01186439898836,-1979.0,14.969749722052562,489.6625942824485,1.6037479332322935,487.0324476719475,True,3000.0,3000.0,200.0
1,20.824573119188507,42.51186439898836,557.0,1286.1875635047813,1348.8680758320215,3.2753448555160167,1343.4965102689753,True,3000.0,3000.0,200.0
1,27.324573119188507,67.01186439898837,231.0,1681.962963095748,1098.3567354307906,2.0079752299105174,1095.0636560537373,True,3000.0,3000.0,200.0
1,3.824573119188507,57.01186439898836,1924.0,2495.171679189618,1574.0908745419615,8.646533019549876,1559.9105603898997,True,3000.0,3000.0,200.0
1,30.824573119188507,88.51186439898837,-3578.0,2494.0201979166677,888.5703669224763,8.60358414147222,874.4604889304619,True,3000.0,3000.0,200.0
1,0.32457311918850706,36.01186439898836,728.0,2471.488288201695,1465.5668641048892,11.19603050521376,1447.2053740763386,True,3000.0,3000.0,200.0
1,13.824573119188507,73.51186439898837,357.0,2498.6042691101447,1576.4396468186333,1.8689153303583885,1573.3746256768454,True,3000.0,3000.0,200.0
1,3.324573119188507,18.511864398988358,-108.0,2495.9614717464788,1496.1526831111917,10.984107118303445,1478.138747437174,True,3000.0,3000.0,200.0
1,16.824573119188507,54.01186439898836,1429.0,1721.5458158683336,1524.4400665715907,5.305041983486753,1515.7397977186724,True,3000.0,3000.0,200.0
1,0.32457311918850706,44.01186439898836,1114.0,2497.763853844229,1478.6730055806956,10.709984690776574,1461.1086306878221,True,3000.0,3000.0,200.0
2,43.4545731191885,271.4550981355241,451.0,15.995674538138086,466.5690098505161,3.900023181456246,460.1729718329279,True,3000.0,3000.0,200.0
2,21.454573119188503,273.9550981355241,-1172.0,1292.6485284925363,1274.4289110489235,2.000406890296197,1271.1482437488378,True,3000.0,3000.0,200.0
2,29.454573119188503,253.4550981355241,2447.0,1184.2189173061956,1067.3747498490052,5.220933421332748,1058.8124190380195,True,3000.0,3000.0,200.0
2,5.9545731191885025,250.9550981355241,4833.0,2454.231932176071,1704.8021169434737,2.142977395665203,1701.2876340145829,True,3000.0,3000.0,200.0
2,50.9545731191885,253.4550981355241,-1224.0,860.1315798205984,203.3764027048249,2.0341856601175725,200.04033822223207,True,3000.0,3000.0,200.0
2,3.9545731191885025,270.9550981355241,2147.0,2323.139719500295,1576.0410022671622,2.1139343756599,1572.57414989108,True,3000.0,3000.0,200.0
2,34.9545731191885,217.4550981355241,-2523.0,2491.198500175189,754.5190653177035,3.8238879765291585,748.2478890361957,True,3000.0,3000.0,200.0
2,11.454573119188503,239.4550981355241,2457.0,2498.2051565154657,1676.1831662085146,6.843737856730658,1664.9594361234763,True,3000.0,3000.0,200.0
2,17.954573119188503,259.9550981355241,2686.0,1604.9583979522877,1525.3234483604583,7.76635275088073,1512.586629849014,True,3000.0,3000.0,200.0
2,73.9545731191885,247.9550981355241,-4328.0,1927.7577399187746,0.18713999984970542,3.408414986917995,-5.402660578695806,True,8127.1206092688735,8127.1206092688735,200.0
3,50.9545731191885,4.376011206088521,-4400.0,255.1876409646008,204.9473650901271,1.9658219430892296,201.72341710346078,True,3000.0,3000.0,200.0
3,28.454573119188503,5.876011206088521,-2117.0,1530.2513980615872,1002.6059284379514,4.342681814369952,995.4839302623847,True,3000.0,3000.0,200.0
3,16.954573119188503,343.3760112060885,-1512.0,2496.730506880709,1418.6047851143064,2.0461957307609406,1415.2490241158584,True,3000.0,3000.0,200.0
3,27.954573119188503,323.3760112060885,-3956.0,2493.6608884115617,981.8979317476883,8.34299559394815,968.2154189736133,True,3000.0,3000.0,200.0
3,51.4545731191885,330.8760112060885,-4766.0,1356.012731315607,191.02638939847384,1.354962906810579,188.80425023130448,True,3114.6521124477663,3114.6521124477663,200.0
3,12.454573119188503,0.8760112060885206,-1476.0,2499.9149491458747,1537.9134747272396,7.306547214232266,1525.9307372958988,True,3000.0,3000.0,200.0
3,36.9545731191885,354.3760112060885,-3518.0,1182.4652865601852,670.1034580555184,1.9033721456767068,666.9819277366087,True,3000.0,3000.0,200.0
3,80.9545731191885,14.37601120608852,-3224.0,1584.5833607865704,0.025427044071307137,1.574255718258582,-2.556352333872767,True,7685.617288056859,7685.617288056859,200.0
3,20.954573119188503,334.8760112060885,-3379.0,2490.309887981602,1228.1168051456023,5.223046756227002,1219.55100846539,True,3000.0,3000.0,200.0
3,51.4545731191885,351.8760112060885,-4719.0,632.3633290325048,190.96359636192597,1.3740750878809733,188.71011321780117,True,3115.615099607688,3115.615099607688,200.0
4,48.514573119188505,302.50284188422273,-2809.0,596.9731748398771,278.85647535598014,2.2367564130876474,275.1881948385164,True,3000.0,3000.0,200.0
4,26.014573119188505,301.00284188422273,-1519.0,1406.3013163548094,1104.243092446357,4.176926971106048,1097.392932213743,True,3000.0,3000.0,200.0
4,5.514573119188505,292.00284188422273,627.0,2481.1573447542987,1552.076225234886,4.674281081157378,1544.4104042617878,True,3000.0,3000.0,200.0
4,11.014573119188505,313.00284188422273,-2248.0,2492.444218395219,1513.130212386137,11.257785629029334,1494.6674439545288,True,3000.0,3000.0,200.0
4,35.514573119188505,287.50284188422273,684.0,696.0202889953651,781.9531745820742,1.9244663649149367,778.7970497436137,True,3000.0,3000.0,200.0
4,51.014573119188505,285.50284188422273,-3358.0,234.54788807503274,201.72180685371552,1.499238935619208,199.2630549993,True,3007.2313095614663,3007.2313095614663,200.0
4,38.014573119188505,312.50284188422273,-3636.0,1209.3512218518138,631.5468171163905,1.4405683685518211,629.1842849919655,True,3000.0,3000.0,200.0
