hub_id,lat,lon,elev_m,dist_km,cap_mean,cap_std,cap_lcb_at_base_area,feasible,pv_area_m2,required_pv_area_m2
1,42.32457311918851,37.01186439898836,-1979.0,14.969749722052562,489.6625942824485,1.6037479332322935,487.0324476719475,True,3000.0,3000.0
1,20.324573119188507,37.51186439898836,-336.0,1287.7316758676136,1339.69516960805,3.2363354424612907,1334.3875794824135,True,3000.0,3000.0
1,21.324573119188507,62.51186439898836,122.0,1758.8309535129058,1317.008617979662,3.035270063668839,1312.030775075245,True,3000.0,3000.0
1,1.824573119188507,23.511864398988358,240.0,2489.5382084611097,1478.9280999227217,11.294671592207644,1460.404838511501,True,3000.0,3000.0
1,1.324573119188507,49.51186439898836,1989.0,2499.712564455842,1528.913417382911,9.877839273427638,1512.7137609744896,True,3000.0,3000.0
1,9.324573119188507,67.51186439898837,1175.0,2498.527173851058,1633.8466099330844,7.459934467010421,1621.6123174071874,True,3000.0,3000.0
1,26.824573119188507,25.511864398988358,-1693.0,1064.0919057553544,1070.6677590713575,2.5587823750770866,1066.471355976231,True,3000.0,3000.0
1,0.32457311918850706,36.51186439898836,698.0,2470.9833269582823,1464.5099242296574,11.190243825888817,1446.1579243551996,True,3000.0,3000.0
1,22.824573119188507,82.51186439898837,-1989.0,2497.9178783630323,1202.4450017549373,3.9562465804103453,1195.9567573630643,True,3000.0,3000.0
1,4.824573119188507,59.51186439898836,1653.0,2499.6057044739255,1583.2825014076193,8.236223946852615,1569.775094134781,True,3000.0,3000.0
2,43.4545731191885,271.4550981355241,451.0,15.995674538138086,466.5690098505161,3.900023181456246,460.1729718329279,True,3000.0,3000.0
2,21.454573119188503,271.4550981355241,962.0,1287.62999119683,1338.2970304495848,2.694561494552889,1333.877949598518,True,3000.0,3000.0
2,26.454573119188503,247.4550981355241,2873.0,1526.9710130508256,1200.1743536697159,7.3120368321579825,1188.1826132649767,True,3000.0,3000.0
2,5.4545731191885025,250.4550981355241,4841.0,2492.9564968008503,1696.4283894462897,1.7299239261180834,1693.591314207456,True,3000.0,3000.0
2,45.4545731191885,252.4550981355241,3697.0,820.411100818432,418.598768478266,1.8134029533858098,415.62478763471324,True,3000.0,3000.0
2,14.954573119188503,234.9550981355241,1245.0,2493.890092689609,1575.7148639084526,5.007809972103612,1567.5020555542026,True,3000.0,3000.0
2,29.454573119188503,313.9550981355241,-3693.0,2147.30040961916,934.9783843258209,9.007650788375788,920.2058370328846,True,3000.0,3000.0
2,36.4545731191885,216.4550981355241,-3849.0,2492.7386986887864,684.2365663764535,2.4607102267104994,680.2010016046484,True,3000.0,3000.0
2,17.454573119188503,283.4550981355241,-825.0,1635.3229025230394,1425.2482042402655,1.4551753793778461,1422.861716618086,True,3000.0,3000.0
2,12.954573119188503,258.9550981355241,4689.0,1903.7857247089134,1735.7530985288176,11.332302746943075,1717.168122023831,True,3000.0,3000.0
3,44.4545731191885,1.8760112060885206,-4218.0,639.2090025335838,406.84280450085487,2.8679752668429015,402.1393250632325,True,3000.0,3000.0
3,37.9545731191885,334.8760112060885,-4385.0,1673.9421974558227,627.1441143629097,1.5679644921411469,624.5726525957982,True,3000.0,3000.0
3,17.454573119188503,346.8760112060885,-1266.0,2398.261877900089,1410.2981141389414,1.6772552420557179,1407.54741554197,True,3000.0,3000.0
3,44.4545731191885,19.37601120608852,-3802.0,700.6378928711015,408.10915097676747,2.3786202803064382,404.2082137170649,True,3000.0,3000.0
3,12.454573119188503,2.8760112060885206,-1360.0,2487.398134326591,1541.9294097800207,6.99173742830526,1530.4629603976,True,3000.0,3000.0
3,44.4545731191885,322.3760112060885,-4310.0,1850.1650212758734,407.1672394070009,2.0314209421803504,403.8357090618251,True,3000.0,3000.0
