lat,lon,elev_m,capacity_kwh_per_sol
37.907113220470876,82.24437677083108,-3737.0,634.2028497022042
50.5992439461106,38.335056440035196,-3399.0,214.40041962673632
74.62082581614655,10.373632305238573,-4709.0,0.0
37.860842126232626,353.147650409744,-3884.0,634.593298526235
70.695333540995,20.480114534125498,-4555.0,0.0
80.26043172128198,38.025124441022776,-4371.0,0.0
80.35798563156786,48.186492955211264,-4447.0,0.0
58.34780092531047,80.57839153111985,-3901.0,5.360995549681606
5.277208510898426,257.76069173406717,4534.0,1682.3773544407827
22.758170259551402,286.4646782132114,-1321.0,1224.201129469617
48.271976770514435,278.51042085241954,592.0,296.1586139578094
22.384381810388437,233.7137545420435,-97.0,1272.251862084966
18.53255659855623,302.01090649788375,-827.0,1388.6702708518958
85.12080125974023,264.6826619462397,-3097.0,0.0
22.73241476646935,232.70848668168142,-349.0,1251.7272599251323
16.351162476330487,302.5654246951164,-957.0,1456.6058442319645
51.45188418561456,342.87511524661153,-4773.0,190.9235747076426
42.89939794436114,57.70709941958127,-2571.0,466.1604527083764
28.621120379499548,63.46302598199941,331.0,1050.8990539576653
40.27665116902381,58.19212651876275,-1961.0,563.4136878533006
37.1238194147385,56.460593242881245,-2467.0,676.0712972613896
39.81461726659583,344.93669384372555,-4477.0,563.259764734063
60.29940216882856,350.8287987339105,-4927.0,0.0
56.72272229634338,73.01058410662091,-3675.0,44.37886148074335
84.2000827793172,308.5223936663934,-3869.0,0.0
61.648044319880434,316.79802679879185,-4969.0,0.0
55.41943295825661,247.49051602340273,-2129.0,73.92543656821545
66.50339156321672,297.14635629661814,-5000.0,0.0
55.82570207525907,325.11016642801195,-4865.0,71.95708667535783
36.135203956854056,278.464083981378,308.0,750.3339525611368
36.40638171466485,257.4994155614798,2475.0,776.3513576771733
64.9237515808882,277.6403574052045,-3951.0,0.0
74.13065112099574,53.306829859374346,-4452.0,0.0
84.07284563887117,1.367666296679296,-3948.0,0.0
80.91383075287119,13.139344139301707,-3253.0,0.0
27.35454121133313,49.58582334520058,-661.0,1075.9692612058368
14.118269075969963,43.9706272439316,46.0,1559.943789326535
17.21377492698503,27.5835615002375,-705.0,1438.4280348398192
51.35081319234776,340.4867338353112,-4977.0,194.4167124896662
86.44365498630603,1.4637836401841255,-2933.0,0.0
44.64620229124325,209.2034064704425,-3838.0,401.79014922750895
86.40908135325228,218.00762664223146,-2731.0,0.0
49.88658561823268,224.21967206744665,-2618.0,236.04084722313297
86.89211277940552,213.68535860656803,-2704.0,0.0
62.591268116497346,225.7949865247137,-3539.0,0.0
64.04272281009943,177.78447431241113,-4348.0,0.0
49.76647626252457,272.1518015533573,-934.0,241.28972654002564
80.09247415105116,204.42287085597155,-4561.0,0.0
-55.664634667679,275.64139006733745,1827.0,0.0
-8.987278479085543,267.71623891941954,2092.0,1281.7334012128208
-35.469726428612056,271.7923700034746,4527.0,542.3926364995299
-1.9062845412069436,289.17732302828597,3283.0,1497.496408582353
1.153178320976167,286.4133368474138,3389.0,1565.932378590432
-71.18826910927851,278.4740944752971,753.0,0.0
2.76810749774711,301.99302702073487,850.0,1507.7021897372983
0.9033459743046279,301.1916727149426,1450.0,1492.256928052993
-70.32992465800643,300.2085274974218,829.0,0.0
-86.27656766996554,260.92772486965504,2753.0,0.0
-46.745782310426236,316.54286213670383,-3274.0,188.38236784165423
-41.854067262172514,343.2257885044183,1525.0,325.8969280973451
-51.42783669963116,306.1245202396211,-227.0,78.13588792264147
-78.37701806516395,268.4500464842555,1955.0,0.0
-83.18931858224641,263.50150238639384,2497.0,0.0
-67.25320341528806,302.1380536422739,1208.0,0.0
-40.275426880811494,267.15193076480875,8678.0,445.26240150214755
-38.0,331.27855540308315,-2727.0,400.47045775521826
-37.775426880811494,315.65193076480875,-1247.0,416.11990182929776
-39.5,243.27855540308317,6143.0,439.0602807678881
17.264573119188505,227.18866127783366,21126.0,2110.0614150591337
-38.5,342.27855540308315,117.0,407.5513586545287
-37.5,305.27855540308315,502.0,436.6626896150643
-35.775426880811494,323.65193076480875,-2361.0,459.7819942870064
-20.775426880811494,252.15193076480872,6947.0,1067.99933652268
-20.5,299.77855540308315,4759.0,1022.2757644951159
-21.775426880811494,320.65193076480875,-1742.0,840.0533545567839
-20.775426880811494,237.15193076480872,4319.0,1003.2981930718878
-21.275426880811494,267.65193076480875,4111.0,981.6146544434145
-21.5,283.77855540308315,2311.0,933.4698235031658
44.9545731191885,249.4550981355241,4663.0,447.40475783244636
-16.275426880811494,311.15193076480875,-4117.0,939.8732863322031
